id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
315363,UODL,small_airport,Cape Chelyuskin Airfield,77.712,104.24,60,EU,RU,RU-KYA,Chelyuskin Polar Station,no,,,UODL,UODL,,,"УОДЛ, Челюскин"
35041,UODN,medium_airport,Nagurskoye,80.803207,47.663586,59,AS,RU,RU-ARK,Murmansk,no,,,UODN,,,https://en.wikipedia.org/wiki/Nagurskoye,
35086,UODS,small_airport,Sredniy Island Air Base,79.52958,91.07495,26,AS,RU,RU-KYA,Khatanga,no,UODS,,UODS,XODS,,https://en.wikipedia.org/wiki/Sredny_Ostrov,"УОДС, Sredniy Ostrov Air Base, Аэродром Средний Остров, ЬОДС"
6509,UOHH,medium_airport,Khatanga Airport,71.97810363769531,102.49099731445312,95,AS,RU,RU-KYA,Khatanga,yes,UOHH,HTG,UOHH,,,https://en.wikipedia.org/wiki/Khatanga_Airport,
43002,UOIC,small_airport,Snezhnogorsk Airport,68.07666778564453,87.6449966430664,102,AS,RU,RU-KYA,Snezhnogorsk,no,,,UOIC,,,https://en.wikipedia.org/wiki/Snezhnogorsk_Airport,
42958,UOIG,medium_airport,Svetlogorsk Airport,66.839996,88.403336,394,AS,RU,RU-KYA,Svetlogorsk,no,,SES,UOIG,,,https://en.wikipedia.org/wiki/Svetlogorsk_Airport,
31660,UOII,medium_airport,Igarka Airport,67.437202,86.621902,82,AS,RU,RU-KYA,Igarka,yes,UOII,IAA,UOII,,,https://en.wikipedia.org/wiki/Igarka_Airport,
6510,UOOO,medium_airport,Norilsk-Alykel Airport,69.31109619140625,87.33219909667969,574,AS,RU,RU-KYA,Norilsk,yes,UOOO,NSK,UOOO,,,https://en.wikipedia.org/wiki/Norilsk_Alykel_Airport,
42959,UOOW,heliport,Valek Airport,69.398057,88.352315,108,AS,RU,RU-KYA,Valek,no,,,UOOW,,,https://en.wikipedia.org/wiki/Valek_Airport,Аэропорт Валек
32547,UOTT,small_airport,Turukhansk Airport,65.797203,87.935303,128,AS,RU,RU-KYA,Turukhansk,yes,UOTT,THX,UOTT,,,https://en.wikipedia.org/wiki/Turukhansk_Airport,
315497,UOTU,small_airport,Tutonchany Airport,64.210168,93.792455,900,EU,RU,RU-KYA,Tutonchany,no,,,UOTU,UOTU,,,"УОТУ, Тутончаны"
532685,UPTS,heliport,Truskavets – Rixos Heliport,49.267747,23.496729,1328,EU,UA,UA-46,Truskavets,no,,,UPTS,,https://rixos.ua/,,"УПТС, Трускавець"
6511,URKA,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174,EU,RU,RU-KDA,Krasnyi Kurgan,yes,URKA,AAQ,URKA,,https://www.aaqaero.ru/en/,https://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport
31522,URKG,medium_airport,Gelendzhik Airport,44.5820926295,38.0124807358,98,EU,RU,RU-KDA,Gelendzhik,yes,URKG,GDZ,URKG,,http://basel.aero/en/gelendjik/,https://en.wikipedia.org/wiki/Gelendzhik_Airport,Аэропорт Геленджик
6512,URKK,medium_airport,Krasnodar Pashkovsky International Airport,45.034698,39.170502,118,EU,RU,RU-KDA,Krasnodar,yes,URKK,KRR,URKK,,https://krr.aero/en/,https://en.wikipedia.org/wiki/Pashkovsky_Airport,"Pashkovskiy Airport, Pashkovsky Airport"
44330,URKR,small_airport,Armavir Air Base,44.968661,41.107408,712,EU,RU,RU-KDA,Armavir,no,,,URKR,,,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%80_(%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82),Аэродром Армавир
44300,URKS,small_airport,Enem Airfield,44.945999,38.931999,62,EU,RU,RU-AD,Enem,no,,,URKS,,,https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D0%B5%D0%BC_(%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82),Аэропорт Энем
46100,URME,small_airport,Yessentuki Airfield,44.06,42.829,,EU,RU,RU-STA,Yessentuki,no,,,URME,,,,Ессентуки
42924,URMG,medium_airport,Grozny Airport,43.388106,45.699772,548,EU,RU,RU-CE,Grozny,yes,URMG,GRV,URMG,,,https://en.wikipedia.org/wiki/Grozny_Airport,"Grozny North, Grozny Severny, Grozny, Аэропорт Грозный Северный, Аэропорт Грозный"
6513,URML,medium_airport,Makhachkala Uytash International Airport,42.816799,47.652302,12,EU,RU,RU-DA,Makhachkala,yes,URML,MCX,URML,,,https://en.wikipedia.org/wiki/Uytash_airport,
6514,URMM,medium_airport,Mineralnyye Vody Airport,44.225101470947266,43.08190155029297,1054,EU,RU,RU-STA,Mineralnyye Vody,yes,URMM,MRV,URMM,,,https://en.wikipedia.org/wiki/Mineralnye_Vody_Airport,
